Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Label
2025-05-07 21:19:07,144.240.226.23,6.185.148.113,TCP,56554,28934,6326,7,87,1361,179,BENIGN
2025-05-07 21:19:08,86.208.92.176,146.250.117.87,TCP,52848,31625,5469,77,69,1349,810,BENIGN
2025-05-07 21:19:09,48.63.24.26,207.70.49.217,ICMP,18607,47883,6293,41,11,427,63,BENIGN
2025-05-07 21:19:10,114.69.227.111,122.78.224.150,UDP,40728,49291,6222,23,90,407,758,PortScan
2025-05-07 21:19:11,54.187.100.165,1.231.99.185,UDP,32,1268,8903,33,79,817,1096,BENIGN
2025-05-07 21:19:12,47.115.188.76,141.11.59.81,ICMP,3341,40214,9601,95,18,1409,1339,BENIGN
2025-05-07 21:19:13,203.214.36.57,88.242.170.112,TCP,4896,56403,2338,88,62,1186,318,BENIGN
2025-05-07 21:19:14,215.192.216.82,178.4.88.172,ICMP,4813,51094,5756,71,25,749,204,BENIGN
2025-05-07 21:19:15,229.122.210.231,80.106.8.92,ICMP,47324,17735,4504,59,94,1310,371,BENIGN
2025-05-07 21:19:16,147.53.2.46,144.35.166.255,ICMP,29871,21400,1591,57,94,1032,527,BENIGN
2025-05-07 21:19:17,8.158.206.43,106.49.23.180,TCP,19812,28248,3788,13,76,1113,910,BENIGN
2025-05-07 21:19:18,127.237.128.134,178.243.223.82,ICMP,54391,32417,36,71,17,301,404,DDoS
2025-05-07 21:19:19,149.160.154.144,1.78.249.71,UDP,10884,1056,8609,36,97,1095,548,BENIGN
2025-05-07 21:19:20,216.223.0.215,162.126.57.14,UDP,55995,38547,1680,75,57,1048,81,BENIGN
2025-05-07 21:19:21,205.186.31.226,75.154.139.89,UDP,23591,28580,3362,91,88,1418,706,BENIGN
2025-05-07 21:19:22,234.80.45.120,233.10.13.218,UDP,20544,20947,1058,27,75,1117,102,BENIGN
2025-05-07 21:19:23,7.96.143.252,152.242.18.17,TCP,27301,59825,5085,3,85,967,633,BENIGN
2025-05-07 21:19:24,245.208.35.167,7.202.77.15,UDP,18546,15582,1908,66,13,553,633,BENIGN
2025-05-07 21:19:25,237.160.229.100,158.184.114.165,TCP,36484,46350,8550,98,6,1382,738,BENIGN
2025-05-07 21:19:26,198.115.117.86,178.251.8.135,ICMP,52793,32210,2148,70,23,825,502,BENIGN
2025-05-07 21:19:27,175.205.179.73,64.248.185.27,TCP,19303,48463,2520,100,49,704,895,BENIGN
2025-05-07 21:19:28,247.104.113.121,5.184.141.102,ICMP,19144,34267,9332,74,58,1370,955,BENIGN
2025-05-07 21:19:29,218.132.75.157,180.83.194.10,UDP,36467,27769,8318,91,21,436,1131,BENIGN
2025-05-07 21:19:30,144.224.185.84,227.116.39.20,ICMP,14877,43984,5855,84,80,403,358,BENIGN
2025-05-07 21:19:31,69.225.136.13,166.66.158.37,ICMP,4287,41265,8593,88,31,1127,296,BENIGN
2025-05-07 21:19:32,240.164.96.75,162.167.210.52,TCP,54899,20020,5709,37,73,157,581,BENIGN
2025-05-07 21:19:33,160.49.159.3,125.139.125.22,ICMP,53591,37755,6253,77,78,906,764,BENIGN
2025-05-07 21:19:34,209.228.185.228,224.253.169.54,TCP,3233,25520,4132,50,73,1066,495,BENIGN
2025-05-07 21:19:35,111.154.72.74,53.22.70.148,TCP,36885,4936,4202,86,47,1157,1329,DDoS
2025-05-07 21:19:36,198.47.98.146,212.180.115.168,TCP,57560,46758,3013,38,56,807,1271,BENIGN
2025-05-07 21:19:37,69.143.180.235,57.197.175.249,ICMP,28142,40094,4984,59,51,1360,621,BENIGN
2025-05-07 21:19:38,227.230.109.119,226.226.1.161,ICMP,2601,7748,1545,43,97,504,1138,DoS
2025-05-07 21:19:39,227.134.10.32,204.171.243.189,ICMP,16344,53508,5722,100,27,150,1240,BENIGN
2025-05-07 21:19:40,21.60.27.156,75.3.101.96,ICMP,57123,21127,7490,58,95,1197,605,DDoS
2025-05-07 21:19:41,58.60.207.118,240.227.122.91,ICMP,42293,60284,9826,31,28,1052,544,PortScan
2025-05-07 21:19:42,168.10.115.119,139.36.199.208,UDP,44423,56751,8135,57,52,1126,107,BENIGN
2025-05-07 21:19:43,223.86.70.17,255.93.163.232,ICMP,47766,43295,1891,81,25,322,1267,BENIGN
2025-05-07 21:19:44,147.26.149.253,128.26.203.182,UDP,21682,62643,8267,16,16,653,821,BENIGN
2025-05-07 21:19:45,208.4.65.107,192.248.49.177,TCP,44128,8724,844,97,34,129,155,BENIGN
2025-05-07 21:19:46,5.181.138.91,148.239.240.15,UDP,41452,24076,6599,87,98,244,340,BENIGN
2025-05-07 21:19:47,60.18.79.36,37.48.124.197,ICMP,1923,27740,7726,50,44,308,1330,BENIGN
2025-05-07 21:19:48,238.129.57.236,93.78.123.223,UDP,35404,20940,4173,63,41,401,961,DDoS
2025-05-07 21:19:49,213.67.222.125,109.26.114.195,ICMP,12990,51783,1569,51,75,790,572,BENIGN
2025-05-07 21:19:50,225.162.127.40,225.46.108.108,ICMP,61987,27006,4209,52,15,1487,1132,BENIGN
2025-05-07 21:19:51,218.182.2.183,157.243.116.12,ICMP,19308,60276,5363,59,14,1224,1214,BENIGN
2025-05-07 21:19:52,122.66.141.3,80.111.203.240,TCP,46527,14540,1562,56,62,647,330,BruteForce
2025-05-07 21:19:53,163.2.238.5,241.167.232.60,UDP,40034,65295,7350,26,42,1200,165,BENIGN
2025-05-07 21:19:54,219.59.195.145,241.148.109.10,ICMP,12086,44450,1210,17,99,1182,726,PortScan
2025-05-07 21:19:55,253.152.245.201,78.180.209.253,TCP,1140,43228,8895,76,63,866,93,PortScan
2025-05-07 21:19:56,241.140.169.134,221.47.136.137,UDP,53638,2983,2544,20,54,450,1189,BENIGN
2025-05-07 21:19:57,43.22.201.18,72.42.200.23,UDP,60182,42367,6149,45,36,460,1464,BENIGN
2025-05-07 21:19:58,18.120.166.185,196.73.196.196,ICMP,35920,42451,9641,80,95,70,1075,BENIGN
2025-05-07 21:19:59,123.186.81.239,76.100.212.136,TCP,37457,11320,524,14,55,580,246,BruteForce
2025-05-07 21:20:00,3.73.182.48,157.212.77.209,UDP,6585,22093,8660,61,12,386,233,BENIGN
2025-05-07 21:20:01,80.220.192.145,72.23.213.187,UDP,29611,44629,1469,50,77,177,774,DoS
2025-05-07 21:20:02,71.106.211.59,68.51.91.161,ICMP,21878,4938,8500,94,76,40,1298,BENIGN
2025-05-07 21:20:03,20.136.187.239,82.210.38.225,ICMP,45626,43798,4072,96,46,687,940,BENIGN
2025-05-07 21:20:04,126.71.128.55,33.18.221.190,UDP,44695,29194,5219,62,86,567,290,PortScan
2025-05-07 21:20:05,61.157.156.109,185.161.92.143,TCP,5098,63926,7201,39,98,275,363,BENIGN
2025-05-07 21:20:06,99.228.38.215,10.77.163.225,ICMP,1889,55295,7004,12,50,1223,377,BENIGN
2025-05-07 21:20:07,138.42.147.58,205.152.111.143,TCP,62707,5031,1257,41,11,882,353,BruteForce
2025-05-07 21:20:08,165.83.203.254,8.19.206.131,TCP,15468,23405,5662,73,63,889,773,BENIGN
2025-05-07 21:20:09,8.201.182.143,246.194.41.2,UDP,26779,37090,4615,11,66,507,1313,BENIGN
2025-05-07 21:20:10,71.71.240.245,59.102.10.243,ICMP,49290,21446,3796,95,42,1436,1210,BENIGN
2025-05-07 21:20:11,229.105.154.201,108.216.207.50,TCP,28776,20621,6619,24,90,1369,660,BENIGN
2025-05-07 21:20:12,3.109.110.207,239.75.242.39,ICMP,55074,50626,5800,11,52,631,92,BENIGN
2025-05-07 21:20:13,16.221.213.182,102.50.245.200,TCP,47368,35011,3046,88,20,1299,165,BENIGN
2025-05-07 21:20:14,73.224.240.159,246.21.226.116,ICMP,27283,15166,4489,17,87,162,394,BENIGN
2025-05-07 21:20:15,223.176.97.48,123.211.235.104,TCP,5367,31681,9487,66,88,1296,1199,BENIGN
2025-05-07 21:20:16,30.22.6.44,4.34.152.232,TCP,59500,48288,3516,47,41,476,102,BENIGN
2025-05-07 21:20:17,247.193.53.167,36.59.126.148,UDP,27545,8709,9952,18,88,1483,514,BENIGN
2025-05-07 21:20:18,79.150.108.44,247.15.240.233,UDP,63441,40357,1391,16,93,1380,1279,BENIGN
2025-05-07 21:20:19,68.80.164.234,221.187.40.238,ICMP,9924,52874,8561,16,60,997,777,BENIGN
2025-05-07 21:20:20,53.21.230.22,116.131.19.34,TCP,35114,8892,3776,78,93,1107,532,BENIGN
2025-05-07 21:20:21,243.133.0.110,171.145.61.213,TCP,14857,50845,195,59,24,1398,1462,BENIGN
2025-05-07 21:20:22,102.245.150.43,201.255.42.58,ICMP,14332,7138,7605,24,77,705,1448,DDoS
2025-05-07 21:20:23,166.96.94.10,153.92.73.227,UDP,39493,53423,216,40,22,359,558,BENIGN
2025-05-07 21:20:24,73.95.208.173,92.49.122.208,ICMP,23181,26872,7100,15,39,657,1336,BENIGN
2025-05-07 21:20:25,63.128.35.19,36.118.102.45,TCP,21075,25884,9205,71,78,314,1080,BENIGN
2025-05-07 21:20:26,233.134.51.241,80.89.4.50,ICMP,41706,6992,416,20,30,943,483,BENIGN
2025-05-07 21:20:27,153.29.196.19,119.185.253.205,UDP,58140,5192,5044,93,2,848,139,DoS
2025-05-07 21:20:28,97.4.67.162,184.77.131.231,UDP,132,33729,273,80,21,1297,1155,BENIGN
2025-05-07 21:20:29,47.195.209.44,3.130.146.40,ICMP,15883,32427,7987,62,86,686,1444,BENIGN
2025-05-07 21:20:30,124.146.139.70,93.174.207.197,UDP,18856,38461,6148,89,54,560,1202,DDoS
2025-05-07 21:20:31,139.79.167.170,46.104.186.124,TCP,10240,63005,6341,39,39,1372,535,BENIGN
2025-05-07 21:20:32,85.87.221.58,128.133.182.181,UDP,42579,23111,2002,15,80,540,1143,BENIGN
2025-05-07 21:20:33,106.159.161.121,126.255.156.34,UDP,52018,40477,825,99,15,782,952,BENIGN
2025-05-07 21:20:34,41.64.149.235,166.246.102.235,UDP,14084,31782,7118,62,62,1080,1299,BENIGN
2025-05-07 21:20:35,24.20.212.113,145.249.100.107,ICMP,8711,45769,5997,98,26,229,409,BENIGN
2025-05-07 21:20:36,243.126.211.59,144.110.52.248,TCP,55372,24805,6032,99,22,440,123,BENIGN
2025-05-07 21:20:37,55.53.171.91,154.249.121.56,TCP,29432,44846,2994,23,50,468,337,BENIGN
2025-05-07 21:20:38,87.91.120.155,94.222.210.6,ICMP,52331,58274,6166,41,96,1244,390,BENIGN
2025-05-07 21:20:39,14.242.199.150,103.8.224.77,ICMP,14647,63708,1418,15,31,878,533,BENIGN
2025-05-07 21:20:40,11.163.55.32,44.156.249.149,TCP,23256,45201,167,7,16,906,602,DDoS
2025-05-07 21:20:41,163.8.86.47,146.250.183.126,UDP,1172,29723,2154,69,33,730,1342,BENIGN
2025-05-07 21:20:42,190.88.60.31,241.3.165.40,ICMP,26130,21081,8511,43,33,678,655,BENIGN
2025-05-07 21:20:43,68.6.215.69,106.214.28.235,UDP,31943,17750,8554,29,5,48,1273,BruteForce
2025-05-07 21:20:44,79.144.163.245,157.86.94.49,UDP,26922,37123,8600,36,49,782,841,BENIGN
2025-05-07 21:20:45,196.71.206.73,194.153.39.245,ICMP,19065,18812,9635,22,13,410,839,BruteForce
2025-05-07 21:20:46,9.3.199.233,114.196.202.46,TCP,47884,53807,7172,97,90,1053,493,BruteForce
2025-05-07 21:20:47,135.98.48.204,238.142.248.99,UDP,22608,51288,220,1,70,1112,548,BENIGN
2025-05-07 21:20:48,248.211.30.140,143.85.74.40,TCP,9684,9005,5274,96,52,1440,978,DDoS
2025-05-07 21:20:49,210.95.84.144,239.119.1.126,UDP,60001,7772,239,89,44,839,895,BENIGN
2025-05-07 21:20:50,186.1.98.124,209.23.195.160,UDP,62477,53247,882,24,3,866,974,BENIGN
2025-05-07 21:20:51,160.113.171.76,24.150.152.23,ICMP,14466,58584,6731,38,16,244,1448,BENIGN
2025-05-07 21:20:52,153.65.177.253,60.11.211.192,UDP,26324,27168,8960,67,26,727,1331,BENIGN
2025-05-07 21:20:53,6.219.158.4,206.240.197.118,TCP,12778,4442,9044,80,92,865,232,BENIGN
2025-05-07 21:20:54,134.36.64.39,3.66.199.50,UDP,57840,61,4069,37,76,88,685,BENIGN
2025-05-07 21:20:55,125.110.149.245,179.146.9.99,ICMP,55500,8533,3268,60,48,1329,658,DDoS
2025-05-07 21:20:56,157.17.226.43,24.141.18.106,UDP,28683,3210,4084,81,23,621,283,BENIGN
2025-05-07 21:20:57,117.217.62.51,28.219.27.32,UDP,56350,64517,4525,43,80,822,524,BENIGN
2025-05-07 21:20:58,202.175.40.219,37.221.81.221,ICMP,48036,15354,8266,25,100,1369,1255,BENIGN
2025-05-07 21:20:59,122.147.19.211,239.115.198.212,UDP,58406,43284,7067,52,15,1191,1155,BENIGN
2025-05-07 21:21:00,81.84.123.4,98.209.149.111,ICMP,34512,22053,9725,59,21,197,1493,BruteForce
2025-05-07 21:21:01,91.26.30.190,248.9.21.247,UDP,11822,56365,6329,37,13,110,543,BruteForce
2025-05-07 21:21:02,25.76.41.133,189.64.143.112,ICMP,59984,51599,8841,33,27,1096,746,BENIGN
2025-05-07 21:21:03,115.221.57.223,194.150.245.65,ICMP,9715,12839,806,87,21,381,1069,BENIGN
2025-05-07 21:21:04,79.250.60.232,172.44.152.33,TCP,31073,50688,5292,81,99,1035,842,DoS
2025-05-07 21:21:05,233.52.64.72,149.208.189.128,TCP,431,1642,4490,99,30,1453,500,DDoS
2025-05-07 21:21:06,96.198.243.8,86.57.199.252,ICMP,13922,3135,4925,33,93,592,1346,BENIGN
2025-05-07 21:21:07,118.251.45.76,13.160.152.188,TCP,7345,2864,2596,51,34,232,201,BENIGN
2025-05-07 21:21:08,163.137.125.82,18.158.124.34,UDP,27516,17931,2535,53,94,1208,1394,BENIGN
2025-05-07 21:21:09,46.143.32.127,196.84.82.239,UDP,28690,64095,4501,2,75,410,565,BENIGN
2025-05-07 21:21:10,85.93.105.102,96.103.164.108,ICMP,46819,33699,1179,42,64,439,1201,BENIGN
2025-05-07 21:21:11,199.156.207.156,4.66.122.174,ICMP,15281,11153,6153,50,33,380,175,BENIGN
2025-05-07 21:21:12,54.169.178.107,225.114.163.141,UDP,40923,33485,2094,51,83,1358,1192,DDoS
2025-05-07 21:21:13,132.48.122.25,154.203.17.24,ICMP,52476,57822,9594,28,47,818,938,BENIGN
2025-05-07 21:21:14,220.5.235.98,37.248.215.127,UDP,41898,61465,28,19,83,844,528,BENIGN
2025-05-07 21:21:15,35.224.167.224,158.5.47.11,ICMP,49524,20343,7156,74,40,364,851,BENIGN
2025-05-07 21:21:16,220.158.76.118,165.140.156.118,ICMP,43445,62695,7966,70,75,1408,952,BENIGN
2025-05-07 21:21:17,248.136.96.216,236.19.8.33,UDP,22611,44141,1364,80,81,1194,446,BENIGN
2025-05-07 21:21:18,30.36.30.255,165.226.32.161,TCP,59322,1386,9526,45,37,788,105,DDoS
2025-05-07 21:21:19,119.89.152.226,252.16.241.221,UDP,37266,5473,7446,13,84,455,1312,BENIGN
