src_ip,dst_ip,protocol,packet_size,label,is_anomaly
178.119.226.118,179.133.102.142,6,1380,DoS,1
180.79.137.210,236.36.148.144,6,391,BENIGN,0
9.24.220.137,223.169.173.37,17,118,BENIGN,0
52.152.133.18,59.151.73.201,17,297,BENIGN,0
85.103.227.202,240.210.65.228,17,138,BENIGN,0
219.252.164.13,222.103.196.7,1,849,BENIGN,0
146.182.195.12,36.254.226.113,17,1210,DDoS,1
125.87.114.74,213.170.241.80,17,904,BENIGN,0
212.195.245.51,7.147.42.245,6,1488,DDoS,1
159.160.123.43,49.108.234.246,17,792,DoS,1
183.4.115.84,212.156.134.65,6,1452,BENIGN,0
184.146.166.205,240.124.238.88,1,1074,DoS,1
146.237.47.170,44.123.201.93,1,1468,DoS,1
83.11.210.228,66.126.225.72,1,1329,DoS,1
87.115.238.53,222.120.94.195,17,923,BENIGN,0
65.152.138.218,192.20.43.30,6,977,BENIGN,0
148.212.92.156,83.30.223.217,17,655,BENIGN,0
36.100.163.193,228.21.157.3,1,172,BENIGN,0
211.4.50.237,132.15.213.75,1,682,BENIGN,0
246.17.67.218,210.252.225.109,6,926,BENIGN,0
219.192.173.240,13.244.28.161,1,271,BENIGN,0
42.184.109.85,179.188.90.209,17,536,BENIGN,0
153.43.40.41,117.68.124.143,17,65,BENIGN,0
104.231.198.221,201.238.49.22,1,638,DDoS,1
41.60.121.3,29.10.148.23,1,1394,BENIGN,0
251.5.205.178,206.172.87.246,17,874,BENIGN,0
94.216.113.77,170.248.93.134,17,829,BENIGN,0
167.51.152.254,214.151.27.215,6,1340,BENIGN,0
220.17.220.59,168.184.61.198,1,226,DoS,1
169.95.45.163,242.52.58.130,6,194,BENIGN,0
186.33.235.201,131.63.40.202,17,228,BENIGN,0
29.40.149.202,66.165.184.188,6,884,BENIGN,0
152.38.16.188,89.58.1.200,17,101,BENIGN,0
4.121.136.211,42.8.67.111,6,643,BENIGN,0
57.241.241.94,123.91.250.92,17,970,BENIGN,0
218.233.203.151,33.105.151.146,6,1190,BENIGN,0
84.254.79.41,157.224.41.167,6,700,BENIGN,0
23.141.133.30,74.96.162.26,6,267,BENIGN,0
138.187.158.179,74.31.89.245,17,196,BENIGN,0
249.35.68.78,153.128.153.60,1,633,BENIGN,0
212.217.66.39,67.53.115.163,17,1176,BruteForce,1
254.135.201.86,220.7.78.71,1,1128,BENIGN,0
121.168.62.20,194.63.76.87,17,1117,BruteForce,1
121.24.33.146,211.104.214.41,17,1242,BENIGN,0
48.50.218.236,46.200.194.253,6,778,BruteForce,1
243.165.168.56,73.112.205.2,17,281,PortScan,1
32.85.9.82,134.33.77.3,17,939,BENIGN,0
241.96.133.193,100.101.227.140,17,195,DDoS,1
176.40.127.135,242.163.226.253,1,590,BENIGN,0
5.59.219.200,42.217.61.155,6,197,BENIGN,0
80.92.215.41,70.72.63.137,17,1026,PortScan,1
164.244.220.213,36.95.212.166,17,1394,BENIGN,0
93.134.249.156,105.234.171.3,6,857,BENIGN,0
3.49.250.84,110.219.14.54,6,1234,BENIGN,0
130.35.91.244,16.252.99.4,1,1226,BENIGN,0
206.204.147.153,223.227.78.188,1,749,DDoS,1
105.230.195.108,54.76.14.192,6,819,BENIGN,0
132.132.29.235,35.123.104.61,6,470,DDoS,1
124.215.53.175,40.223.88.164,17,888,BruteForce,1
137.153.230.147,121.57.57.103,6,1491,BENIGN,0
194.84.199.172,57.3.117.133,1,235,BENIGN,0
80.34.96.57,227.197.81.25,1,1376,BENIGN,0
87.159.36.245,8.50.50.65,1,102,BENIGN,0
150.143.76.67,248.229.211.43,6,895,BENIGN,0
62.107.48.119,99.221.185.1,6,802,BENIGN,0
225.93.119.133,241.204.6.2,1,376,BENIGN,0
10.173.9.164,99.13.90.172,1,603,BENIGN,0
166.218.210.129,216.238.113.211,17,1252,BENIGN,0
87.210.153.47,245.190.18.185,6,639,BENIGN,0
8.70.162.245,98.173.78.163,1,285,BENIGN,0
200.189.91.222,213.146.201.162,17,765,BENIGN,0
133.64.79.15,193.50.95.242,6,768,BENIGN,0
191.40.54.113,129.120.244.186,17,128,BENIGN,0
137.139.82.166,46.213.116.99,6,992,DDoS,1
84.129.143.124,179.193.29.154,6,813,BENIGN,0
164.24.169.228,93.66.53.249,1,1250,DDoS,1
99.168.141.121,17.143.168.30,1,1052,DoS,1
121.9.16.88,213.242.140.205,1,947,BruteForce,1
32.122.103.202,162.193.17.209,17,109,BENIGN,0
8.204.54.179,125.159.235.188,6,1231,BENIGN,0
50.89.249.14,57.8.15.27,1,121,BENIGN,0
46.93.160.190,173.11.97.84,1,329,BENIGN,0
49.241.248.156,141.149.113.154,6,1445,BruteForce,1
89.100.230.83,80.54.23.247,6,778,BruteForce,1
51.0.37.187,199.88.124.91,17,499,DDoS,1
8.40.105.163,66.172.72.17,6,1314,BENIGN,0
67.43.6.171,26.247.25.216,1,702,BENIGN,0
147.249.198.160,191.214.212.194,17,517,PortScan,1
229.141.18.234,125.70.173.187,6,316,DDoS,1
191.80.40.244,29.59.65.17,6,1237,BENIGN,0
252.172.208.199,242.186.42.246,1,583,BENIGN,0
82.44.148.149,129.112.160.78,17,1023,BENIGN,0
235.187.190.111,251.223.8.179,17,118,BENIGN,0
35.107.172.43,61.234.102.44,17,860,BENIGN,0
103.1.225.104,134.136.188.100,1,122,BENIGN,0
9.233.134.197,132.133.90.20,1,225,BruteForce,1
197.202.182.201,65.89.169.199,1,1301,BENIGN,0
190.37.0.254,238.20.47.253,17,338,PortScan,1
174.152.82.116,38.154.5.61,6,471,BENIGN,0
71.0.46.27,109.140.154.59,6,871,BENIGN,0
157.45.26.207,137.194.93.101,6,436,BENIGN,0
66.56.8.141,11.135.214.17,1,1437,BENIGN,0
149.45.25.172,38.170.37.10,17,1263,BruteForce,1
165.12.87.26,85.75.19.60,17,471,BENIGN,0
103.50.16.191,110.137.181.94,17,278,BENIGN,0
112.43.86.144,209.141.177.11,1,487,PortScan,1
74.110.131.244,15.89.58.126,17,549,BruteForce,1
237.152.180.223,244.119.8.130,6,678,BENIGN,0
16.22.83.242,153.59.231.119,6,521,BENIGN,0
240.249.254.76,128.114.165.120,6,1178,BENIGN,0
8.204.175.20,132.10.93.21,1,634,BENIGN,0
207.143.126.41,246.175.114.72,1,849,BENIGN,0
92.85.6.100,23.232.203.150,17,674,BENIGN,0
151.1.5.108,192.97.102.69,6,1237,PortScan,1
77.237.104.120,200.29.192.70,17,690,DoS,1
246.41.74.53,82.34.148.53,1,457,BENIGN,0
32.35.95.13,39.18.77.29,1,1141,BruteForce,1
135.65.141.69,103.148.129.177,17,1230,BENIGN,0
57.251.120.68,25.161.196.22,6,1287,DDoS,1
196.140.84.8,255.151.197.25,1,1258,BENIGN,0
240.221.243.236,121.102.179.131,17,373,BENIGN,0
133.211.32.73,249.12.51.180,6,990,BENIGN,0
58.191.192.227,28.166.101.245,17,210,BENIGN,0
51.213.135.197,149.64.133.19,17,1439,BENIGN,0
11.160.203.19,83.112.226.187,1,997,BENIGN,0
50.147.117.1,138.109.13.254,6,534,BENIGN,0
189.31.55.104,72.160.18.154,6,1027,BENIGN,0
191.204.192.177,126.172.124.27,17,766,BENIGN,0
50.231.204.114,224.14.40.36,17,1236,BENIGN,0
196.219.129.8,131.9.202.52,17,195,BENIGN,0
18.94.119.48,225.154.79.249,17,670,BENIGN,0
196.42.242.220,185.142.34.36,6,672,BENIGN,0
136.141.100.205,203.65.41.104,1,1214,BENIGN,0
236.51.60.133,71.253.141.224,17,300,BENIGN,0
131.60.154.246,201.224.108.199,17,839,BENIGN,0
246.23.232.150,193.62.171.241,6,729,BENIGN,0
4.123.63.143,25.244.30.164,1,666,BENIGN,0
149.155.112.189,237.248.1.115,1,792,BENIGN,0
65.7.127.94,172.227.192.66,6,885,BENIGN,0
41.224.4.40,105.174.199.20,6,1033,BENIGN,0
137.132.185.150,238.159.48.186,6,96,BENIGN,0
121.4.136.72,71.247.153.243,1,891,BENIGN,0
158.147.192.78,196.148.3.17,1,412,PortScan,1
200.204.138.228,158.25.132.12,6,519,BENIGN,0
133.23.49.234,63.44.54.122,1,433,BENIGN,0
214.232.19.47,98.197.93.70,1,337,BENIGN,0
129.59.199.93,115.238.60.118,17,1154,PortScan,1
246.93.50.113,149.40.154.9,17,801,BENIGN,0
76.236.164.122,120.90.30.56,1,649,BENIGN,0
252.22.238.225,167.149.197.201,1,881,BENIGN,0
168.101.152.85,63.163.58.5,1,1105,BENIGN,0
47.177.15.162,213.217.50.31,6,1267,BENIGN,0
3.76.50.217,97.100.237.94,1,1213,BENIGN,0
181.180.105.188,250.68.33.29,1,1435,BENIGN,0
200.41.252.61,174.185.110.1,1,754,BENIGN,0
89.148.132.49,198.57.235.197,17,1368,BENIGN,0
120.198.108.86,49.207.205.133,6,379,BENIGN,0
175.109.181.14,194.229.159.143,6,353,PortScan,1
22.243.5.33,85.29.31.119,1,342,BENIGN,0
38.41.197.244,241.157.88.16,1,1203,BENIGN,0
31.237.103.62,229.122.174.117,1,905,BENIGN,0
188.86.191.110,236.178.73.206,6,1453,BENIGN,0
246.242.176.68,8.93.244.92,6,724,BENIGN,0
237.234.144.187,206.156.172.101,1,1181,BruteForce,1
98.222.237.167,232.14.207.98,6,561,BENIGN,0
161.132.130.48,149.5.87.6,6,1256,BENIGN,0
61.138.31.251,12.121.105.112,1,398,BruteForce,1
238.231.94.24,157.119.69.149,17,1181,BENIGN,0
60.233.188.150,62.77.26.100,17,892,PortScan,1
67.130.174.42,54.200.13.205,1,626,BENIGN,0
75.133.22.122,180.90.177.143,17,1051,DoS,1
87.116.145.204,72.94.174.197,17,896,BENIGN,0
150.88.111.2,6.51.132.218,17,1189,BENIGN,0
215.255.53.9,70.138.95.110,17,929,BENIGN,0
103.132.229.218,177.27.199.252,1,998,BENIGN,0
11.233.151.34,135.101.65.2,6,1436,BENIGN,0
243.186.111.226,158.96.103.72,1,1303,BENIGN,0
190.214.204.39,192.148.242.87,1,1467,BENIGN,0
115.5.140.157,180.184.209.164,1,1388,BENIGN,0
50.158.242.197,32.206.152.8,6,1208,BENIGN,0
118.71.150.3,158.201.213.93,1,195,BENIGN,0
86.168.40.110,88.173.183.204,1,309,BENIGN,0
139.13.98.91,45.65.174.75,17,1036,BENIGN,0
223.214.95.77,152.193.253.101,6,1302,BENIGN,0
155.206.99.249,19.136.226.23,1,837,BENIGN,0
119.180.243.123,231.25.46.99,17,1178,BENIGN,0
150.107.154.83,245.108.233.25,1,1452,BENIGN,0
125.6.139.237,21.133.161.225,17,157,BENIGN,0
25.13.215.173,19.64.89.148,17,950,BENIGN,0
96.188.53.3,34.198.116.151,17,148,BENIGN,0
164.232.32.79,245.129.113.31,6,624,PortScan,1
7.33.184.3,13.12.175.146,1,734,BENIGN,0
178.62.26.221,31.69.217.25,6,1299,BENIGN,0
190.66.147.135,58.144.216.211,17,449,BENIGN,0
231.241.170.117,182.10.85.177,1,444,BENIGN,0
21.69.31.235,79.106.67.192,6,1000,BENIGN,0
220.64.203.182,182.143.31.16,17,354,BENIGN,0
4.234.120.117,174.129.178.243,1,354,BENIGN,0
238.63.238.94,53.159.8.191,1,414,BENIGN,0
30.214.148.136,181.184.249.63,1,915,BENIGN,0
34.253.175.142,85.184.155.11,1,923,DDoS,1
167.133.37.98,17.84.24.143,1,366,PortScan,1
199.95.133.148,228.198.199.102,1,548,BENIGN,0
207.13.173.171,67.156.21.141,1,476,BENIGN,0
214.36.93.60,42.146.168.238,6,912,BENIGN,0
133.65.173.22,1.241.20.63,6,778,BENIGN,0
104.170.122.85,153.196.167.126,1,737,BENIGN,0
187.61.29.71,153.199.215.148,6,1494,BENIGN,0
47.105.75.44,118.64.234.175,17,463,BENIGN,0
226.138.27.115,31.219.195.135,6,454,BENIGN,0
205.120.181.19,239.198.4.151,1,497,BENIGN,0
41.51.185.246,108.159.217.214,1,890,BENIGN,0
16.68.222.73,174.210.80.10,6,322,DoS,1
44.216.49.95,58.87.51.234,1,1276,BENIGN,0
234.150.49.112,25.8.100.179,17,40,BruteForce,1
223.141.213.23,19.221.185.91,17,324,DDoS,1
235.168.191.114,133.40.172.181,1,302,BENIGN,0
64.178.43.235,203.133.191.252,6,601,BENIGN,0
241.31.104.69,19.104.171.68,17,89,BENIGN,0
86.204.108.170,180.106.174.154,17,1072,BENIGN,0
167.135.187.161,2.16.244.160,17,1137,BENIGN,0
138.52.252.51,188.72.40.16,17,266,BENIGN,0
37.46.67.119,79.4.196.230,17,1471,BruteForce,1
11.227.18.41,112.178.149.8,6,996,BENIGN,0
73.158.192.48,183.243.37.252,1,737,BENIGN,0
195.108.152.93,242.229.136.140,17,1401,BENIGN,0
56.101.154.6,209.140.81.50,17,1018,BENIGN,0
246.152.126.17,98.188.65.92,6,683,DoS,1
34.97.83.161,66.243.64.30,1,456,BENIGN,0
210.62.223.241,181.85.106.223,6,952,BENIGN,0
50.4.72.253,30.214.37.117,1,225,BENIGN,0
230.94.189.22,228.133.193.157,6,1451,BENIGN,0
23.162.185.178,77.8.224.58,17,1274,BENIGN,0
62.122.105.156,215.61.26.218,6,725,BENIGN,0
50.21.91.48,133.2.113.209,17,268,BENIGN,0
209.204.217.150,39.105.92.189,1,693,BENIGN,0
29.186.138.235,18.104.36.197,17,1251,BENIGN,0
49.236.189.71,41.135.231.114,1,412,BENIGN,0
48.134.104.219,154.6.19.113,6,786,BENIGN,0
116.108.30.3,68.135.31.209,1,888,BENIGN,0
201.39.2.70,10.55.124.106,6,1396,BENIGN,0
247.130.218.249,5.236.159.223,1,310,BENIGN,0
105.241.32.49,196.183.61.248,17,69,BENIGN,0
254.204.227.90,68.0.246.53,17,519,BENIGN,0
99.223.225.238,47.110.17.83,6,81,BENIGN,0
251.150.80.141,109.18.32.99,1,985,BruteForce,1
220.143.183.187,3.30.79.251,6,1386,BENIGN,0
1.233.14.118,110.230.14.141,1,895,BENIGN,0
21.150.137.133,133.209.91.109,1,206,BENIGN,0
91.3.22.188,89.156.205.131,6,1145,DoS,1
33.84.207.71,51.128.130.167,1,1047,BENIGN,0
2.2.81.93,248.162.142.252,6,720,BENIGN,0
39.172.167.29,228.177.12.165,6,707,BENIGN,0
234.55.113.97,45.254.34.185,1,955,BENIGN,0
153.175.127.157,180.44.128.218,6,1131,BruteForce,1
70.207.12.194,82.59.114.92,1,1461,BENIGN,0
239.148.118.255,90.46.129.18,17,483,BENIGN,0
206.104.225.79,193.242.85.73,1,641,BENIGN,0
18.237.124.45,74.90.21.74,1,405,BENIGN,0
4.179.140.100,19.139.210.205,17,1500,BENIGN,0
224.207.100.179,13.157.184.54,1,281,BENIGN,0
211.225.0.126,3.16.128.113,1,431,BENIGN,0
218.31.210.90,166.54.117.14,1,1271,BENIGN,0
113.216.52.28,121.248.187.69,17,477,BENIGN,0
46.14.247.100,153.3.116.239,1,295,BENIGN,0
9.23.75.219,220.222.139.183,17,1177,DoS,1
135.29.166.19,18.222.40.66,1,1289,BruteForce,1
111.190.41.93,58.13.194.60,6,436,PortScan,1
90.195.219.176,127.220.41.28,6,550,BruteForce,1
175.140.115.33,70.9.254.150,1,1456,BENIGN,0
164.58.65.162,193.84.27.72,1,337,DoS,1
172.216.237.29,82.90.7.222,1,224,BENIGN,0
231.94.190.27,167.133.123.21,6,1021,BENIGN,0
93.192.96.218,212.201.210.132,17,92,BENIGN,0
82.128.48.34,101.226.162.204,1,895,BENIGN,0
39.156.11.232,253.0.89.245,1,1316,BENIGN,0
115.191.189.255,44.27.48.166,17,80,BENIGN,0
89.56.199.17,87.55.169.112,1,572,BENIGN,0
19.145.114.144,43.189.206.193,6,730,BENIGN,0
139.135.5.157,9.2.238.199,6,1412,BENIGN,0
107.151.65.215,124.3.111.170,1,590,DoS,1
91.59.115.41,148.171.68.167,6,798,BENIGN,0
243.205.218.212,154.83.31.37,17,216,DDoS,1
211.163.214.205,180.223.164.160,6,939,BENIGN,0
19.237.164.18,49.25.79.82,1,1089,BENIGN,0
230.147.4.167,162.9.223.42,17,492,BruteForce,1
87.253.96.14,93.51.10.198,17,381,BENIGN,0
106.66.140.36,123.80.191.186,6,1457,BENIGN,0
127.179.157.29,67.19.63.42,17,1172,BENIGN,0
65.186.44.84,128.195.22.21,1,502,BENIGN,0
203.119.133.177,165.245.26.192,17,1081,BENIGN,0
94.94.130.211,122.184.157.139,1,1058,BENIGN,0
2.220.0.92,134.69.135.19,17,488,BENIGN,0
164.162.133.136,114.205.46.168,17,908,BENIGN,0
206.32.13.77,88.91.170.4,1,1291,BENIGN,0
221.82.50.73,128.23.75.17,1,1301,BENIGN,0
79.115.111.140,251.44.171.19,1,378,DDoS,1
122.38.219.24,6.2.194.124,1,885,BENIGN,0
45.41.185.215,233.227.33.201,6,332,BENIGN,0
89.11.11.235,68.108.157.52,6,858,BENIGN,0
45.166.159.193,183.7.134.234,6,873,BENIGN,0
45.29.24.240,195.166.13.171,1,516,DoS,1
229.107.152.159,246.192.0.159,6,862,BENIGN,0
240.141.91.194,63.138.94.165,17,1421,BENIGN,0
215.200.49.157,228.111.186.228,6,1265,BENIGN,0
84.145.207.124,143.56.57.253,1,598,BENIGN,0
178.215.162.14,122.91.201.97,1,584,BruteForce,1
86.198.136.215,80.78.217.16,1,1125,BENIGN,0
180.219.107.5,194.212.189.248,1,40,BENIGN,0
104.136.110.53,125.118.232.218,6,883,DoS,1
170.84.229.99,182.50.230.186,17,629,BENIGN,0
188.102.83.49,188.239.41.204,1,770,BENIGN,0
136.180.151.202,248.235.14.239,6,432,BENIGN,0
16.135.25.125,205.11.35.216,17,1146,BENIGN,0
26.223.211.23,109.172.124.68,1,569,BENIGN,0
107.205.209.221,217.41.28.3,1,817,BENIGN,0
14.28.194.12,58.20.64.215,6,847,BENIGN,0
41.99.76.86,151.132.238.229,6,1097,BENIGN,0
251.245.173.16,216.80.168.112,6,621,DoS,1
145.235.64.254,77.28.103.205,1,957,BENIGN,0
186.250.117.110,181.117.25.150,1,345,BENIGN,0
246.242.118.126,239.199.86.59,1,1084,BENIGN,0
69.190.183.37,231.179.0.80,6,66,PortScan,1
127.63.141.193,76.174.98.184,1,371,PortScan,1
73.140.245.186,152.184.9.61,6,263,PortScan,1
195.230.33.107,111.238.93.130,17,716,DDoS,1
143.38.100.246,14.32.37.134,1,1209,DDoS,1
226.216.13.40,5.23.179.64,1,588,BENIGN,0
136.105.45.67,204.6.218.67,1,903,BENIGN,0
14.121.225.122,119.123.67.187,17,425,BENIGN,0
80.41.236.148,45.174.162.67,6,744,BENIGN,0
197.141.83.118,252.124.140.106,17,175,BENIGN,0
21.0.162.20,15.86.223.117,1,305,BENIGN,0
62.168.179.13,254.215.131.154,1,196,BENIGN,0
174.66.105.111,189.247.31.169,1,770,BENIGN,0
63.4.228.99,37.30.157.175,17,146,BruteForce,1
199.42.205.214,237.229.55.175,1,761,DoS,1
229.174.1.193,205.168.87.119,1,517,BENIGN,0
230.53.153.209,96.127.191.236,17,1308,BENIGN,0
142.207.120.36,177.27.172.125,1,536,BENIGN,0
66.234.238.171,179.215.114.248,17,1058,BENIGN,0
132.243.153.173,150.120.47.95,1,1197,BENIGN,0
141.106.196.14,252.25.129.120,17,113,DDoS,1
209.57.67.56,171.5.204.3,6,1013,BENIGN,0
70.207.69.185,34.9.41.35,1,336,PortScan,1
186.51.12.31,83.150.16.85,17,1397,BruteForce,1
124.83.224.137,181.228.188.66,17,974,BENIGN,0
158.122.41.11,248.233.121.166,1,336,BENIGN,0
50.106.153.213,123.241.75.227,17,1383,DoS,1
135.60.165.55,110.86.214.177,1,357,BENIGN,0
159.150.23.66,126.154.98.231,6,1436,BENIGN,0
227.21.226.81,208.66.157.155,6,293,BENIGN,0
190.95.190.68,26.208.43.91,17,301,DDoS,1
36.25.30.162,128.216.176.75,1,862,BENIGN,0
185.159.129.241,97.136.181.95,6,632,BENIGN,0
148.51.196.109,224.16.145.204,1,1384,BENIGN,0
14.225.237.157,3.51.104.225,17,1211,BENIGN,0
229.70.2.16,225.41.91.81,17,927,PortScan,1
106.69.106.251,212.33.3.36,6,198,BENIGN,0
90.64.170.71,138.87.88.252,6,1080,BENIGN,0
144.224.185.84,227.116.39.20,1,403,BENIGN,0
202.69.74.100,238.9.151.133,1,900,BENIGN,0
125.20.163.106,200.246.7.181,6,332,BENIGN,0
161.181.118.142,145.130.60.11,17,698,BENIGN,0
99.133.48.69,166.177.75.42,6,334,BENIGN,0
203.134.250.83,68.192.54.62,6,880,BENIGN,0
97.136.113.39,148.9.216.93,1,1315,BENIGN,0
159.217.90.113,134.80.17.225,17,560,BENIGN,0
104.28.84.244,71.111.85.160,1,1043,BENIGN,0
120.197.118.35,29.81.43.177,17,745,BruteForce,1
36.171.209.72,48.123.239.35,1,1175,BENIGN,0
242.180.211.229,62.214.231.117,17,469,BENIGN,0
124.240.172.96,219.176.98.185,6,214,BENIGN,0
211.7.34.219,217.78.101.101,1,1264,BENIGN,0
53.33.126.235,251.131.21.171,1,1150,BENIGN,0
173.111.36.2,172.128.181.33,6,1064,PortScan,1
100.198.230.77,199.144.189.53,17,690,BENIGN,0
199.117.42.122,19.1.66.144,17,938,BENIGN,0
160.191.176.213,173.163.85.175,17,319,DoS,1
247.189.81.63,23.205.204.206,1,171,BENIGN,0
146.29.218.171,98.254.206.44,6,498,BENIGN,0
113.70.79.9,192.212.231.224,17,740,BENIGN,0
